Index,Competition,URL
296,ECML/PKDD 15: Taxi Trajectory Prediction (I),https://compsearch.dev/search?url=pkdd-15-predict-taxi-service-trajectory-i
297,ECML/PKDD 15: Taxi Trip Time Prediction (II),https://compsearch.dev/search?url=pkdd-15-taxi-trip-time-prediction-ii
298,West Nile Virus Prediction,https://compsearch.dev/search?url=predict-west-nile-virus
299,Otto Group Product Classification Challenge,https://compsearch.dev/search?url=otto-group-product-classification-challenge
300,How Much Did It Rain?,https://compsearch.dev/search?url=how-much-did-it-rain
301,Restaurant Revenue Prediction,https://compsearch.dev/search?url=restaurant-revenue-prediction
302,Microsoft Malware Classification Challenge (BIG 2015),https://compsearch.dev/search?url=malware-classification
303,National Data Science Bowl,https://compsearch.dev/search?url=datasciencebowl
304,Driver Telematics Analysis,https://compsearch.dev/search?url=axa-driver-telematics-analysis
305,BCI Challenge @ NER 2015,https://compsearch.dev/search?url=inria-bci-challenge
306,Click-Through Rate Prediction,https://compsearch.dev/search?url=avazu-ctr-prediction
307,Helping Santa's Helpers,https://compsearch.dev/search?url=helping-santas-helpers
308,American Epilepsy Society Seizure Prediction Challenge,https://compsearch.dev/search?url=seizure-prediction
309,Tradeshift Text Classification,https://compsearch.dev/search?url=tradeshift-text-classification
310,Africa Soil Property Prediction Challenge,https://compsearch.dev/search?url=afsis-soil-properties
311,Display Advertising Challenge,https://compsearch.dev/search?url=criteo-display-ad-challenge
312,Higgs Boson Machine Learning Challenge,https://compsearch.dev/search?url=higgs-boson
313,UPenn and Mayo Clinic's Seizure Detection Challenge,https://compsearch.dev/search?url=seizure-detection
314,DecMeg2014 - Decoding the Human Brain,https://compsearch.dev/search?url=decoding-the-human-brain
315,MLSP 2014 Schizophrenia Classification Challenge,https://compsearch.dev/search?url=mlsp-2014-mri
316,KDD Cup 2014 - Predicting Excitement at DonorsChoose.org,https://compsearch.dev/search?url=kdd-cup-2014-predicting-excitement-at-donors-choose
317,Greek Media Monitoring Multilabel Classification (WISE 2014),https://compsearch.dev/search?url=wise-2014
318,Acquire Valued Shoppers Challenge,https://compsearch.dev/search?url=acquire-valued-shoppers-challenge
319,Allstate Purchase Prediction Challenge,https://compsearch.dev/search?url=allstate-purchase-prediction-challenge
320,CONNECTOMICS,https://compsearch.dev/search?url=connectomics
321,Large Scale Hierarchical Text Classification,https://compsearch.dev/search?url=lshtc
322,Galaxy Zoo - The Galaxy Challenge,https://compsearch.dev/search?url=galaxy-zoo-the-galaxy-challenge
323,See Click Predict Fix,https://compsearch.dev/search?url=see-click-predict-fix
324,Multi-label Bird Species Classification - NIPS 2013,https://compsearch.dev/search?url=multilabel-bird-species-classification-nips2013
325,Accelerometer Biometric Competition,https://compsearch.dev/search?url=accelerometer-biometric-competition
326,AMS 2013-2014 Solar Energy Prediction Contest,https://compsearch.dev/search?url=ams-2014-solar-energy-prediction-contest
327,Personalize Expedia Hotel Searches - ICDM 2013,https://compsearch.dev/search?url=expedia-personalized-sort
328,StumbleUpon Evergreen Classification Challenge,https://compsearch.dev/search?url=stumbleupon
329,Cause-effect pairs,https://compsearch.dev/search?url=cause-effect-pairs
330,Amazon.com - Employee Access Challenge,https://compsearch.dev/search?url=amazon-employee-access-challenge
331,KDD Cup 2013 - Author-Paper Identification Challenge (Track 1),https://compsearch.dev/search?url=kdd-cup-2013-author-paper-identification-challenge
332,The ICML 2013 Whale Challenge - Right Whale Redux,https://compsearch.dev/search?url=the-icml-2013-whale-challenge-right-whale-redux
333,KDD Cup 2013 - Author Disambiguation Challenge (Track 2),https://compsearch.dev/search?url=kdd-cup-2013-author-disambiguation
334,Challenges in Representation Learning: The Black Box Learning Challenge,https://compsearch.dev/search?url=challenges-in-r…ntation-learning-the-black-box-learning-challenge
335,Blue Book for Bulldozers,https://compsearch.dev/search?url=bluebook-for-bulldozers
336,Heritage Health Prize,https://compsearch.dev/search?url=hhp
337,Event Recommendation Engine Challenge,https://compsearch.dev/search?url=event-recommendation-engine-challenge
338,Traveling Santa Problem,https://compsearch.dev/search?url=traveling-santa-problem
339,Predict Closed Questions on Stack Overflow,https://compsearch.dev/search?url=predict-closed-questions-on-stack-overflow
340,Data Mining Hackathon on BIG DATA (7GB) Best Buy mobile web site,https://compsearch.dev/search?url=acm-sf-chapter-hackathon-big
341,EMC Israel Data Science Challenge,https://compsearch.dev/search?url=emc-data-science
342,Million Song Dataset Challenge,https://compsearch.dev/search?url=msdchallenge
343,Personality Prediction Based on Twitter Stream,https://compsearch.dev/search?url=twitter-personality-prediction
344,Semi-Supervised Feature Learning,https://compsearch.dev/search?url=SemiSupervisedFeatureLearning
345,dunnhumby's Shopper Challenge,https://compsearch.dev/search?url=dunnhumbychallenge
346,Mapping Dark Matter,https://compsearch.dev/search?url=mdm
347,Don't Overfit!,https://compsearch.dev/search?url=overfitting
348,Predict Grant Applications,https://compsearch.dev/search?url=unimelb
349,IJCNN Social Network Challenge,https://compsearch.dev/search?url=socialNetwork
